カテゴリ（Want）,やりたいこと（Want）,カテゴリ（Can）,得意なこと（Can）,カテゴリ（Need）,課題・ペイン（Need）,市場性（Market）,リソース
スポーツ,テニス,テクノロジー,IT,コミュニケーション,聴覚障害者とのコミュニケーション,,
スポーツ,ゴルフ,テクノロジー,画像処理,婚活・恋愛,素敵な結婚,,
フィットネス・健康,ジム,テクノロジー,音響解析,スポーツ・スキルアップ,もっとうまくなりたい,,
その他,短い文,ヒューマンスキル,機起き,生活・消費,不運の物の値段がいくらか調べたいこと,,
教育・人材開発,人の能力開発,ヒューマンスキル,継続,キャリア・将来,職業,,
フィットネス・健康,健康課題,経験・実績,コンテスト競技,教育・個別指導,個別,,
テクノロジー・ビジネス,人の計測,テクノロジー,AGV作りたい,生活・消費,インフレ,,
コミュニティ・社会,コミュニティ運営,テクノロジー,画像検査装置つくる,キャリア・将来,将来の不安,,
恋愛・人間関係,恋愛・出会いマッチング,フィットネス・健康,パーソナルトレーナー,美容・外見,美容室でどんなスタイルにしたいか伝えられないこと少し困っている,,
エンタメ・クリエイティブ,映画,フィットネス・健康,ダイエット,テクノロジー,技術ですべてを楽に予約しなければならないこと,,
テクノロジー・ビジネス,プラットフォーム,ヒューマンスキル,緊張しない,コミュニケーション,業界のコミュニケーションエラー,,
美容・ウェルネス,美容,ヒューマンスキル,アサーティブなコミュニケーション,食・栄養,今ある食材で何を作ればいいか,,
エンタメ・クリエイティブ,小説,ヒューマンスキル,物怖じしない姿勢,フィットネス・健康,トレーニングとダイエットについて考えてほしいけど,,
エンタメ・クリエイティブ,小説書きたい,人脈・ネットワーク,人脈・汰大,コミュニケーション,短い文反応でメッセージからバディに近づきにくい,,
教育・人材開発,子供,人脈・ネットワーク,人脈・ダービーサークル,教育・個別指導,どこに出ればいいのか,,
ペット,ねこ,人脈・ネットワーク,人脈・コンサル系,コミュニケーション,話しにくい人に話せないことがあるない場面,,
美容・ウェルネス,温泉,人脈・ネットワーク,人脈・コンサル,食・栄養,ちょっとしたことの食事のカロリーを計算できるサイト,,
教育・人材開発,中高生にトレーニング科学を入り口に学習の面白さを伝えたい,人脈・ネットワーク,人脈・新潟大学,フィットネス・健康,タンニングの頻度やタイミングに迷う,,
スポーツ,ロードバイク,人脈・ネットワーク,人脈・車やバスケ,フィットネス・健康,トレーナー業ではクライアントの評価ができるようになりたい,,
アダルト・アングラ,アングラっぽいの運営,人脈・ネットワーク,人脈・フィットチャンネルとジム,フィットネス・健康,トレーナー業ではクライアントの質問に正しく応えられるようになりたい,,
テクノロジー・ビジネス,技術,経験・実績,自転車でほぼ日本一周,キャリア・将来,考えられるようになりたい,,
美容・ウェルネス,サウナ,経験・実績,宿泊,美容・外見,美容のケアの方法がよくわからない,,
エンタメ・クリエイティブ,ボードゲーム,経験・実績,ディジーズ全国大会出場,美容・外見,美容の成分によってどのような効果があるのの一覧みたいのがない,,
テクノロジー・ビジネス,投資,その他,生学,ビジネス・起業,フェイクな専門のクーラーが欲しい,,
グルメ・ライフスタイル,グルメ,その他,内部,フィットネス・健康,シェアパーソナルジム,,
グルメ・ライフスタイル,お茶,経験・実績,開発や生産技術や製造の経験,フィットネス・健康,プラアスリートに対するトレーニング指導,,
グルメ・ライフスタイル,ドライブ,経験・実績,定期車メーカー夜,フィットネス・健康,短い文反応でメニューがどうすればいいかわからない,,
グルメ・ライフスタイル,インテリア,フィットネス・健康,トレーナーの資格（NASM・PRI）保有,フィットネス・健康,女性に対するトレーニング指導が難しいと感じた,,
グルメ・ライフスタイル,コーヒー,テクノロジー,3Dプリンタ,社会課題,自殺,,
アダルト・アングラ,メンズエス,ビジネス・企画,英語とTOEIC,ペット,ねこ,,
アダルト・アングラ,風俗,ビジネス・企画,企画,キャリア・将来,65歳以上の高齢雇用,,
アダルト・アングラ,AV,ビジネス・企画,資料作成-ワードとエクセル,農業・産業,農業が廃業になり存続が困難か,,
アダルト・アングラ,アダルト,テクノロジー,技術,テクノロジー,農業が土壌水分pHセンサー,,
テクノロジー・ビジネス,蓄電義務化,テクノロジー,プログラミング,キャリア・将来,AIによるエンジニアが要らなくなった,,
,,テクノロジー,CAD,キャリア・将来,AIによる職業がなくなる,,
,,テクノロジー,品質管理,テクノロジー,画像処理で精度UPの調整領域が意外と大変,,
,,テクノロジー,AI,アングラ・ニッチ,技術からことひとりアングラ系が知りたい,,
,,テクノロジー,CAE,ビジネス・起業,創業XX年,,
,,,,美容・外見,目が良くなりたい,,
,,,,美容・外見,歯がきれいになりたい,,
,,,,フィットネス・健康,"動体解析後に結局何をしたらいいかわからないので、コンディショニングとか提案してほしい",,
,,,,美容・外見,虫歯がなくなりたい,,
,,,,美容・外見,歯磨きが高い,,
,,,,キャリア・将来,若者が自分の可能性と向き合い社会の実現,,
,,,,フィットネス・健康,仰向けアプローチしたい体重を横並びにするアプリ,,
,,,,テクノロジー,大工の仕事を標準化したい,,
,,,,クリエイティブ,世界のいろいろな動画的なアイディアはほしい,,
,,,,健康・医療,睡眠の定性評価をし睡眠の質について問題提起できるアプリ,,
